Product SKU;Product Name;Product URL;Description;Weight;Height;Width;Length;Featured Image
SIC-225;Bounce House Combo 106;http://35.161.218.27/wordpress/wordpress/index.php/product/bounce-house-combo-106/;"WEIGHT: 325LBS

HEIGHT: 15'

WIDTH: 17'

LENGTH: 16'";;;;;http://35.161.218.27/wordpress/wordpress/wp-content/uploads/2016/11/sic-225.jpg
SIC-224;Bounce House Combo 105;http://35.161.218.27/wordpress/wordpress/index.php/product/bounce-house-combo-105/;"WEIGHT: 325LBS

HEIGHT: 15'

WIDTH: 17'

LENGTH: 16'";;;;;http://35.161.218.27/wordpress/wordpress/wp-content/uploads/2016/11/sic-224.jpg
SIC-223;Bounce House Combo;http://35.161.218.27/wordpress/wordpress/index.php/product/bounce-house-combo/;"WEIGHT: 325LBS

HEIGHT: 15'

WIDTH: 17'

LENGTH: 16'";;;;;http://35.161.218.27/wordpress/wordpress/wp-content/uploads/2016/11/sic-223.jpg
SIC-229;"Bounce House Combo 107 &#8211; Model B";http://35.161.218.27/wordpress/wordpress/index.php/product/bounce-house-combo-107-2/;"WEIGHT: 425LBS

HEIGHT: 16'

WIDTH: 18'

LENGTH: 18'";;;;;http://35.161.218.27/wordpress/wordpress/wp-content/uploads/2016/11/SIC-229.jpg
SIC-228;"Bounce House Combo 109 &#8211; Model A";http://35.161.218.27/wordpress/wordpress/index.php/product/bounce-house-combo-109/;"WEIGHT: 228LBS

HEIGHT: 16'

WIDTH: 18'

LENGTH: 18'";;;;;http://35.161.218.27/wordpress/wordpress/wp-content/uploads/2016/11/SIC-228.jpg
SIC-222;Bounce House Combo 103;http://35.161.218.27/wordpress/wordpress/index.php/product/bounce-house-combo-103/;"WEIGHT: 325LBS

HEIGHT: 15'

WIDTH: 17'

LENGTH: 16'";;;;;http://35.161.218.27/wordpress/wordpress/wp-content/uploads/2016/11/sic-222.jpg
SIC-221;Bounce House Combo 102;http://35.161.218.27/wordpress/wordpress/index.php/product/bounce-house-combo-102/;"WEIGHT: 325LBS

HEIGHT: 15'

WIDTH: 17'

LENGTH: 16'";;;;;http://35.161.218.27/wordpress/wordpress/wp-content/uploads/2016/11/sic-221.jpg
SIC-220;Bounce House Combo 101;http://35.161.218.27/wordpress/wordpress/index.php/product/bounce-house-combo-101/;"WEIGHT: 325LBS

HEIGHT: 15'

WIDTH: 17'

LENGTH: 16'";;;;;http://35.161.218.27/wordpress/wordpress/wp-content/uploads/2016/11/sic-220.jpg
SIC-219;Bounce House Combo 100;http://35.161.218.27/wordpress/wordpress/index.php/product/bounce-house-combo-100/;"WEIGHT: 325LBS

HEIGHT: 15'

WIDTH: 17'

LENGTH: 16'";;;;;http://35.161.218.27/wordpress/wordpress/wp-content/uploads/2016/11/sic-219.jpg
SIC-218;Bounce House Combo 99;http://35.161.218.27/wordpress/wordpress/index.php/product/bounce-house-combo-99/;"WEIGHT: 325LBS

HEIGHT: 15'

WIDTH: 17'

LENGTH: 16'";;;;;http://35.161.218.27/wordpress/wordpress/wp-content/uploads/2016/11/sic-218.jpg
SIC-217;"Bounce House Combo 98 &#8211; Model D";http://35.161.218.27/wordpress/wordpress/index.php/product/bounce-house-combo-98-model-d/;"WEIGHT: 210LBS

HEIGHT: 15'

WIDTH: 15'

LENGTH: 16'";;;;;http://35.161.218.27/wordpress/wordpress/wp-content/uploads/2016/11/sic-217.jpg
SIC-227;Bounce House Combo 108;http://35.161.218.27/wordpress/wordpress/index.php/product/bounce-house-combo-108/;"WEIGHT: 425LBS

HEIGHT: 16'

WIDTH: 18'

LENGTH: 18'";;;;;http://35.161.218.27/wordpress/wordpress/wp-content/uploads/2016/11/SIC-227.jpg
SIC-216;"Bounce House Combo 98 &#8211; Model C";http://35.161.218.27/wordpress/wordpress/index.php/product/bounce-house-combo-98-model-c/;"WEIGHT: 210LBS

HEIGHT: 15'

WIDTH: 15'

LENGTH: 16'";;;;;http://35.161.218.27/wordpress/wordpress/wp-content/uploads/2016/11/sic-216.jpg
SIC-215;"Bounce House Combo 98 &#8211; Model B";http://35.161.218.27/wordpress/wordpress/index.php/product/bounce-house-combo-98-2/;"WEIGHT: 210LBS

HEIGHT: 15'

WIDTH: 15'

LENGTH: 16'";;;;;http://35.161.218.27/wordpress/wordpress/wp-content/uploads/2016/11/sic-215.jpg
SIC-226;Bounce House Combo 107;http://35.161.218.27/wordpress/wordpress/index.php/product/bounce-house-combo-107/;"WEIGHT: 425LBS

HEIGHT: 16'

WIDTH: 18'

LENGTH: 18'";;;;;http://35.161.218.27/wordpress/wordpress/wp-content/uploads/2016/11/bouncehousecombo107.jpg
SIC-214;"Bounce House Combo 98 &#8211; Model A";http://35.161.218.27/wordpress/wordpress/index.php/product/bounce-house-combo-98/;"WEIGHT: 280LBS

HEIGHT: 15'

WIDTH: 15'

LENGTH: 16'";;;;;http://35.161.218.27/wordpress/wordpress/wp-content/uploads/2016/11/sic-214.jpg
;test product;http://35.161.218.27/wordpress/wordpress/index.php/product/test-product__trashed/;test description;;;;;
